text,y_true,y_pred
"The engagement level of the following phrase: 'The following data were obtained from one Male student 1 of Language class 147 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:80.09341765417585, sd:7.165639736308028, max:91.14247332595274, min:68.86719755342202
ACC: mean:42.48061111698756, sd:6.85905930294495, max:53.79212815507391, min:33.30525614065048
EDA: mean:0.4278156435330545, sd:0.0772131251784213, max:0.5965648768921554, min:0.3075251813786543
TEMP: mean:30.22247333347034, sd:0.2716162427618175, max:30.763069546127237, min:29.810082469030057' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 1 of Maths class 137 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:91.58464790156452, sd:10.313692573505506, max:115.2016916658962, min:79.10485570374476
ACC: mean:41.24620211263972, sd:9.236887256071196, max:56.96792982653948, min:28.253183297726785
EDA: mean:0.4270939518645944, sd:0.07603876627216, max:0.5214000494092093, min:0.2985152775314135
TEMP: mean:30.25304608009036, sd:0.1671603699814124, max:30.514099698580868, min:29.988565305322005' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 1 of Health class 117 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.2799709917904, sd:7.691732547122824, max:98.0629280921444, min:71.3847993773104
ACC: mean:31.98973694909413, sd:8.724159562159793, max:43.70598668593159, min:19.95117899335481
EDA: mean:0.4355000572817598, sd:0.1083699161061483, max:0.59415686206579, min:0.202835549987271
TEMP: mean:30.308303610066517, sd:0.1247610502500044, max:30.591945515414952, min:30.17809844398188' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,disengagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 2 of Language class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:93.96376427260424, sd:6.62012516780421, max:101.82158991037528, min:79.83064329012764
ACC: mean:45.00337840868062, sd:9.49513810950633, max:63.26932425873622, min:32.69131227079679
EDA: mean:0.4871520312775755, sd:0.0899262285072419, max:0.6663254723305461, min:0.3140143859020081
TEMP: mean:30.361602426519728, sd:0.1326272319867664, max:30.69436331994087, min:30.18839159636237' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 4 of Language class 156 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.87299525108048, sd:8.434023502311543, max:103.19283923641768, min:77.08066099604687
ACC: mean:35.35896308162607, sd:9.218309720640177, max:56.0930634973311, min:23.94432980821358
EDA: mean:0.4246786602099028, sd:0.0884117429192824, max:0.5348174212666669, min:0.3132862193539754
TEMP: mean:30.181310450983595, sd:0.2007316876314514, max:30.445506641771185, min:29.80934357708185' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 4 of English class 160 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:94.4703819630082, sd:9.414453321531647, max:107.8706111169944, min:79.20185646497946
ACC: mean:42.96259829030597, sd:11.130842903196818, max:57.625871905307946, min:27.410924129433997
EDA: mean:0.429553607026949, sd:0.0905218635016423, max:0.5058139514518506, min:0.2
TEMP: mean:30.32787709762952, sd:0.2258321124808102, max:30.738868924578878, min:30.017346166265614' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 4 of Politics class 148 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.62891822765678, sd:10.542156629864778, max:106.325570434792, min:68.72327420654389
ACC: mean:37.80309722214048, sd:11.583354914819989, max:64.93033663980496, min:20.237536665335483
EDA: mean:0.4753371857529263, sd:0.0873609341137984, max:0.6204105516255491, min:0.3094810153196425
TEMP: mean:30.3926791616014, sd:0.3188661483958663, max:30.854695058362037, min:29.87403210329332' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 4 of Politics class 160 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:90.34302811730804, sd:15.042756820136438, max:120.0, min:66.694335201928
ACC: mean:31.10471209807856, sd:12.50126596865335, max:51.88337778208448, min:10.524951572747652
EDA: mean:0.427842053144262, sd:0.0788844352658778, max:0.5757149216862573, min:0.2982826303328321
TEMP: mean:30.406780771453725, sd:0.1896307645423296, max:30.762152208324103, min:30.117260931071133' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 4 of English class 128 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.88949707802594, sd:8.845620035289143, max:97.75312458477978, min:73.33214809384323
ACC: mean:33.04505783798656, sd:5.978818242195819, max:42.55904195170703, min:20.48171193248281
EDA: mean:0.4803596449481327, sd:0.1019350715150625, max:0.6329620201716087, min:0.3303211353573688
TEMP: mean:30.23615378500049, sd:0.3150923651525177, max:30.87041295913471, min:29.82921244798536' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Male student 5 of English class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:86.97822769393063, sd:13.70514440146313, max:104.76393027208204, min:63.1219134346492
ACC: mean:34.37676725988452, sd:10.080135239880333, max:53.03419828428999, min:16.4761645539082
EDA: mean:0.4840823366713415, sd:0.082375608142342, max:0.6261188124867374, min:0.3474247316359722
TEMP: mean:30.36998901910088, sd:0.2969584463136865, max:30.880010180504318, min:30.0045314686448' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Male student 5 of English class 114 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:85.81204489634484, sd:10.955429585338862, max:106.07196643637886, min:71.17341305877315
ACC: mean:33.43763843169445, sd:10.933764416741267, max:57.53259137526568, min:20.0610750213211
EDA: mean:0.5039974023398026, sd:0.0852300817101107, max:0.6665056067806603, min:0.3683782755458035
TEMP: mean:30.347971237818296, sd:0.3199846547495235, max:30.8678624363557, min:29.905750879452253' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 6 of Maths class 113 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:83.35921461218322, sd:8.397013363860847, max:100.06608154863916, min:72.72832143410352
ACC: mean:41.98073290928864, sd:10.445176290550542, max:58.93197932209945, min:22.881165804367864
EDA: mean:0.3947527580479025, sd:0.0767171970938196, max:0.5231955502509846, min:0.2902127865505162
TEMP: mean:30.289794051438825, sd:0.2133736755752162, max:30.581977248313397, min:29.86357314178509' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,neutral
"The engagement level of the following phrase: 'The following data were obtained from one Female student 6 of Maths class 110 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:84.7707085438752, sd:9.681504853045938, max:95.54733298067808, min:67.36596847520545
ACC: mean:39.89288811890814, sd:9.0401489477316, max:54.99435983008709, min:27.233208725289863
EDA: mean:0.4534923910183568, sd:0.0994484711884846, max:0.6448342644789813, min:0.2917823236653872
TEMP: mean:30.25960054113209, sd:0.229031274772551, max:30.47896818617274, min:29.790944874286016' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
"The engagement level of the following phrase: 'The following data were obtained from one Female student 6 of Language class 112 in any 10 minutes of 80. The statistics (mean, standard deviation, maximum, and minimum values) of heart rate (HR), acceleration (ACC), electrodermal activity (EDA), and skin temperature (TEMP) per minute are as follows:
HR: mean:89.30116581111484, sd:5.921710848919784, max:97.45211534611484, min:79.2152619865794
ACC: mean:42.254417227147904, sd:9.824724677903538, max:58.750650393485415, min:24.12131449544198
EDA: mean:0.4446238784258541, sd:0.0960430045744254, max:0.6445195074276933, min:0.2678913930705504
TEMP: mean:30.33079161267505, sd:0.1959782223960259, max:30.64829531448373, min:30.048599656077634' is
            

 Engagement
            
 Disengagement
            
 Neutral
            
 Cannot be determined
            

Solution: The correct option is",engagement,engagement
